model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
PD22,baseline,angola,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Losses,DISTLOSS,TJ,2257.2002,2293.1983,2516.4008,3333.6013,3844.8012,3880.7993,4201.1984,4346.5432,5211.5067,6268.06875,6642.8481,6859.089018998447,7115.195687340063,7371.302355681681,7627.409024023297,7883.515692364914,8139.622360706531,8395.729029048147,8651.835697389764,8907.942365731382,9164.049034073,9420.155702414617,9676.262370756232,9932.369039097848,10188.475707439466,10444.582375781083,10700.6890441227,10956.795712464316,11212.902380805932,11469.00904914755,11725.115717489169,11981.222385830784,12237.329054172402,12493.435722514016,12749.542390855631,13005.64905919725,13261.755727538868,13517.862395880486,13773.9690642221,14030.07573256372,14286.182400905334,14542.289069246952,14798.39573758857,15054.502405930189,15310.609074271804,15566.715742613418,15822.822410955036,16078.929079296651,16335.03574763827,16591.142415979888,16847.249084321506,17103.35575266312,17359.462421004737,17615.569089346354,17871.67575768797,18127.78242602959,18383.889094371207,18639.99576271282,18896.10243105444,19152.209099396056,19408.315767737677,19664.42243607929,19920.529104420904,20176.63577276252,20432.74244110414,20688.84910944576,20944.95577778737,21201.06244612899,21457.16911447061,21713.275782812223,21969.38245115384,22225.489119495454,22481.595787837075,22737.702456178693,22993.809124520307,23249.915792861924,23506.02246120354,23762.12912954516,24018.235797886773,24274.34246622839,24530.449134570008,24786.555802911626,25042.662471253243,25298.76913959486,25554.875807936474,25810.98247627809,26067.08914461971,26323.195812961327,26579.302481302944,26835.40914964456,27091.51581798618
PD22,baseline,angola,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,"Own use in electricity, CHP and heat plants",EPOWERPLT,TJ,489.6002,500.398,550.7987,730.8018,842.4009,849.598,921.5984,953.4809,1143.3983,1375.2173,1457.2116,1504.6473942279604,1560.8283579240529,1617.009321620145,1673.1902853162378,1729.3712490123305,1785.552212708423,1841.7331764045157,1897.914140100608,1954.0951037967004,2010.276067492793,2066.4570311888856,2122.637994884978,2178.8189585810705,2234.999922277163,2291.1808859732555,2347.361849669348,2403.5428133654405,2459.723777061533,2515.9047407576254,2572.085704453718,2628.2666681498104,2684.447631845903,2740.6285955419958,2796.809559238088,2852.9905229341807,2909.171486630273,2965.3524503263657,3021.533414022458,3077.7143777185506,3133.895341414644,3190.076305110736,3246.2572688068285,3302.438232502921,3358.619196199013,3414.800159895106,3470.9811235911984,3527.162087287291,3583.343050983384,3639.524014679476,3695.704978375568,3751.885942071661,3808.066905767753,3864.2478694638457,3920.428833159938,3976.609796856031,4032.790760552124,4088.971724248216,4145.152687944308,4201.3336516404015,4257.514615336493,4313.6955790325865,4369.876542728678,4426.057506424771,4482.238470120863,4538.419433816956,4594.600397513048,4650.781361209141,4706.962324905233,4763.143288601326,4819.324252297419,4875.505215993511,4931.686179689604,4987.867143385696,5044.048107081789,5100.229070777881,5156.410034473974,5212.590998170066,5268.771961866159,5324.952925562251,5381.133889258344,5437.314852954436,5493.495816650529,5549.676780346621,5605.857744042714,5662.038707738806,5718.219671434899,5774.400635130991,5830.581598827084,5886.762562523176,5942.943526219268
PD22,baseline,angola,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Autoproducer electricity plants,AUTOELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,angola,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,angola,Electric Power,Electricity and Heat,Hydro,HYDRO,Electricity output,Electricity output -autoproducer electricity plants,ELAUTOE,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0325524407216908,1.0711061852129455,1.1096599297042002,1.1482136741954552,1.18676741868671,1.2253211631779646,1.2638749076692193,1.302428652160474,1.3409823966517287,1.3795361411429834,1.418089885634238,1.456643630125493,1.4951973746167475,1.5337511191080024,1.5723048635992571,1.610858608090512,1.6494123525817668,1.6879660970730217,1.7265198415642762,1.7650735860555309,1.8036273305467856,1.8421810750380403,1.880734819529295,1.9192885640205497,1.9578423085118049,1.9963960530030596,2.0349497974943143,2.073503541985569,2.112057286476824,2.1506110309680784,2.189164775459333,2.227718519950588,2.2662722644418425,2.304826008933097,2.343379753424352,2.3819334979156066,2.4204872424068613,2.459040986898116,2.4975947313893707,2.5361484758806254,2.57470222037188,2.613255964863135,2.65180970935439,2.6903634538456447,2.7289171983368994,2.767470942828154,2.806024687319409,2.8445784318106635,2.883132176301918,2.9216859207931734,2.960239665284428,2.9987934097756828,3.037347154266937,3.075900898758192,3.114454643249447,3.1530083877407016,3.1915621322319563,3.230115876723211,3.2686696212144657,3.3072233657057204,3.345777110196975,3.38433085468823,3.4228845991794845,3.461438343670739,3.499992088161994,3.5385458326532486,3.5770995771445038,3.615653321635758,3.6542070661270127,3.692760810618267,3.731314555109522,3.7698682996007777,3.808422044092032,3.846975788583287,3.885529533074542,3.924083277565797,3.9626370220570513,4.001190766548306,4.039744511039561,4.078298255530815
PD22,baseline,angola,Electric Power,Electricity and Heat,Hydro,HYDRO,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,13330.8,14425.2,13579.2,17161.2,18147.6,18316.8,20934.0,27551.052,35253.468,39144.6324,43035.7968,44436.71702424274,46095.908138047496,47755.099251852254,49414.29036565701,51073.48147946178,52732.672593266536,54391.863707071294,56051.05482087605,57710.24593468082,59369.437048485575,61028.62816229033,62687.81927609509,64347.01038989985,66006.20150370461,67665.39261750937,69324.58373131414,70983.7748451189,72642.96595892365,74302.15707272841,75961.34818653317,77620.53930033793,79279.73041414269,80938.92152794744,82598.1126417522,84257.30375555696,85916.49486936172,87575.68598316648,89234.87709697124,90894.068210776,92553.25932458077,94212.45043838552,95871.64155219028,97530.83266599504,99190.0237797998,100849.21489360456,102508.40600740931,104167.59712121409,105826.78823501884,107485.9793488236,109145.17046262836,110804.36157643312,112463.55269023788,114122.74380404264,115781.9349178474,117441.12603165217,119100.31714545692,120759.50825926168,122418.69937306644,124077.89048687118,125737.08160067596,127396.27271448071,129055.46382828549,130714.65494209024,132373.84605589497,134033.03716969973,135692.2282835045,137351.41939730925,139010.610511114,140669.80162491876,142328.99273872355,143988.1838525283,145647.37496633307,147306.56608013785,148965.75719394258,150624.94830774734,152284.1394215521,153943.33053535686,155602.52164916162,157261.71276296637,158920.90387677113,160580.09499057592,162239.28610438068,163898.47721818544,165557.6683319902,167216.85944579495,168876.0505595997,170535.24167340447,172194.43278720925,173853.62390101398,175512.81501481874
PD22,baseline,angola,Electric Power,Electricity and Heat,Hydro,HYDRO,Transformation processes,Autoproducer electricity plants,AUTOELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0325524407216908,1.0711061852129455,1.1096599297042002,1.1482136741954552,1.18676741868671,1.2253211631779646,1.2638749076692193,1.302428652160474,1.3409823966517287,1.3795361411429834,1.418089885634238,1.456643630125493,1.4951973746167475,1.5337511191080024,1.5723048635992571,1.610858608090512,1.6494123525817668,1.6879660970730217,1.7265198415642762,1.7650735860555309,1.8036273305467856,1.8421810750380403,1.880734819529295,1.9192885640205497,1.9578423085118049,1.9963960530030596,2.0349497974943143,2.073503541985569,2.112057286476824,2.1506110309680784,2.189164775459333,2.227718519950588,2.2662722644418425,2.304826008933097,2.343379753424352,2.3819334979156066,2.4204872424068613,2.459040986898116,2.4975947313893707,2.5361484758806254,2.57470222037188,2.613255964863135,2.65180970935439,2.6903634538456447,2.7289171983368994,2.767470942828154,2.806024687319409,2.8445784318106635,2.883132176301918,2.9216859207931734,2.960239665284428,2.9987934097756828,3.037347154266937,3.075900898758192,3.114454643249447,3.1530083877407016,3.1915621322319563,3.230115876723211,3.2686696212144657,3.3072233657057204,3.345777110196975,3.38433085468823,3.4228845991794845,3.461438343670739,3.499992088161994,3.5385458326532486,3.5770995771445038,3.615653321635758,3.6542070661270127,3.692760810618267,3.731314555109522,3.7698682996007777,3.808422044092032,3.846975788583287,3.885529533074542,3.924083277565797,3.9626370220570513,4.001190766548306,4.039744511039561,4.078298255530815
PD22,baseline,angola,Electric Power,Electricity and Heat,Hydro,HYDRO,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,13330.8005,14425.2007,13579.1992,17161.1992,18147.6009,18316.802,20934.0,27551.0532,35253.4673,39144.6331,43035.7948,44436.714959137855,46095.90599583512,47755.0970325324,49414.28806922966,51073.47910592693,52732.6701426242,54391.861179321466,56051.05221601874,57710.243252716005,59369.43428941327,61028.62532611055,62687.81636280781,64347.00739950508,66006.19843620235,67665.38947289961,69324.58050959688,70983.77154629416,72642.96258299143,74302.15361968869,75961.34465638596,77620.53569308322,79279.7267297805,80938.91776647777,82598.10880317504,84257.2998398723,85916.49087656957,87575.68191326683,89234.8729499641,90894.06398666138,92553.25502335864,94212.44606005593,95871.63709675318,97530.82813345044,99190.01917014772,100849.210206845,102508.40124354226,104167.59228023952,105826.7833169368,107485.97435363404,109145.16539033133,110804.3564270286,112463.54746372587,114122.73850042312,115781.9295371204,117441.12057381768,119100.31161051494,120759.5026472122,122418.69368390949,124077.88472060674,125737.07575730402,127396.26679400128,129055.45783069856,130714.64886739582,132373.8399040931,134033.03094079037,135692.2219774876,137351.41301418492,139010.60405088216,140669.79508757943,142328.9861242767,143988.17716097395,145647.36819767125,147306.5592343685,148965.75027106577,150624.94130776305,152284.13234446032,153943.3233811576,155602.51441785484,157261.70545455214,158920.89649124938,160580.08752794666,162239.27856464393,163898.46960134117,165557.66063803848,167216.85167473572,168876.042711433,170535.23374813027,172194.42478482754,173853.6158215248,175512.8068582221
PD22,baseline,angola,Electric Power,Electricity and Heat,Offshore wind energy,OFFSHORE,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,angola,Electric Power,Electricity and Heat,Onshore wind energy,ONSHORE,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
