model,scenario,sector,product_long,flow_category,flow_long,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,Agriculture,Biochar,Emissions,CO2,Tg dm /yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,Forests & Wetlands,Coastal Restoration,Emissions,CH4,Mha/yr,0.0,0.0003846153846153,0.0007692307692307,0.0011538461538461,0.0015384615384615,0.0019230769230769,0.0023076923076923,0.0026923076923076,0.003076923076923,0.0034615384615384,0.0038461538461538,0.0042307692307692,0.0046153846153846,0.005,0.0053846153846153,0.0057692307692307,0.0061538461538461,0.0065384615384615,0.0069230769230769,0.0073076923076923,0.0076923076923076,0.008076923076923,0.0084615384615384,0.0088461538461538,0.0092307692307692,0.0096153846153846,0.0048076923076923,0.0051508365995758,0.0054942505987085,0.0058376645978412,0.006181078596974,0.0065244925961067,0.0068679065952395,0.0072113205943722,0.0075547345935049,0.0078981485926377,0.0082415625917704,0.0085849765909031,0.0089283905900359,0.0092718045891686,0.0096152185883013,0.0099586325874341,0.0103020465865668,0.0106454605856995,0.0109888745848323,0.011332288583965,0.0116757025830978,0.0120191165822305,0.0123625305813632,0.012705944580496,0.0130493585796287,0.0133927725787614,0.0137361865778942,0.0140796005770269,0.0144230145761596,0.0147664285752924,0.0151098425744251,0.0154532565735578,0.0157966705726906,0.0161400845718233,0.0164834985709561
PD22,baseline,Agriculture,Cropland Soil Health,Emissions,CO2,Mha/yr,0.0,0.000130944155373,0.0002618883107461,0.0003928324661192,0.0005237766214923,0.0006547207768654,0.0007856649322385,0.0009166090876116,0.0010475532429847,0.0011784973983578,0.0013094415537309,0.001440385709104,0.0015713298644771,0.0017022740198502,0.0018332181752233,0.0019641623305964,0.0020951064859695,0.0022260506413426,0.0023569947967157,0.0024879389520888,0.0026188831074619,0.002749827262835,0.0028807714182081,0.0030117155735812,0.0030117155735812,0.0030117155735812,0.0030902815475855,0.0032180122948517,0.0033457430421179,0.0034734737893842,0.0036012045366504,0.0037289352839167,0.0038566660311829,0.0039843967784491,0.0041121275257154,0.0042398582729816,0.0043675890202479,0.0044953197675141,0.0046230505147804,0.0047507812620466,0.0048785120093128,0.0050062427565791,0.0051339735038453,0.0052617042511116,0.0053894349983778,0.005517165745644,0.0056448964929103,0.0057726272401765,0.0059003579874428,0.006028088734709,0.0061558194819753,0.0062835502292415,0.0064112809765077,0.006539011723774,0.0066667424710402,0.0067944732183065,0.0069222039655727,0.0070499347128389,0.0071776654601052,0.0073053962073714,0.0074331269546377
PD22,baseline,Forests & Wetlands,Improved Forest Mgmt,Emissions,CH4,m3/yr,0.0,0.0022222218635668,0.0049999991930254,0.0085714271880436,0.0133333311814012,0.0199999967721019,0.0299999951581528,0.0466666591349044,0.0799999870884076,0.1799999709489171,0.1890256704370756,0.1995253763228248,0.210025082208574,0.2205247880943233,0.2310244939800725,0.2415241998658217,0.2520239057515709,0.2625236116373202,0.2730233175230694,0.2835230234088186,0.2940227292945678,0.3045224351803171,0.3150221410660663,0.3255218469518155,0.3360215528375647,0.3465212587233139,0.3570209646090632,0.3675206704948124,0.3780203763805616,0.3885200822663108,0.3990197881520601,0.4095194940378093,0.4200191999235585,0.4305189058093077,0.4410186116950569,0.4515183175808062,0.4620180234665554,0.4725177293523046,0.4830174352380538,0.493517141123803,0.5040168470095523,0.5145165528953015,0.5250162587810507,0.5355159646668,0.5460156705525492,0.5565153764382984,0.5670150823240476,0.5775147882097968,0.5880144940955461,0.5985141999812953,0.6090139058670445,0.6195136117527937,0.630013317638543,0.6405130235242922,0.6510127294100414,0.6615124352957906,0.6720121411815398,0.6825118470672891,0.6930115529530383,0.7035112588387875,0.7140109647245367
PD22,baseline,Agriculture,Improved Rice,Emissions,CH4,Mha/yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,Forests & Wetlands,Natural Regeneration,Emissions,CH4,Mha/yr,0.0,0.0026850702110924,0.0053701404221848,0.0080552106332773,0.0107402808443697,0.0134253510554621,0.0161104212665546,0.018795491477647,0.0214805616887394,0.0241656318998319,0.0268507021109243,0.0295357723220167,0.0322208425331092,0.0349059127442016,0.037590982955294,0.0402760531663865,0.0429611233774789,0.0456461935885713,0.0483312637996638,0.0510163340107562,0.0537014042218486,0.0563864744329411,0.0590715446440335,0.0617566148550494,0.0644416850661357,0.0671267552772221,0.0698118254883084,0.0724968956993947,0.0751819659104811,0.0778670361215674,0.0805521063326537,0.08323717654374,0.0859222467548264,0.0886073169659127,0.091292387176999,0.0939774573880853,0.0966625275991717,0.099347597810258,0.1020326680213443,0.1047177382324306,0.107402808443517,0.1100878786546033,0.1127729488656896,0.115458019076776,0.1181430892878623,0.1208281594989486,0.1235132297100349,0.1261982999211213,0.1288833701322076,0.1315684403432939,0.1342535105543802,0.1369385807654666,0.1396236509765529,0.1423087211876392,0.1449937913987256,0.1476788616098119,0.1503639318208982,0.1530490020319845,0.1557340722430709,0.1584191424541572,0.1611042126652435
PD22,baseline,Agriculture,Optimal Intensity,Emissions,CO2,Mha/yr,0.0,0.0024994717467943,0.0049989434935886,0.007498415240383,0.0099978869871773,0.0124973587339716,0.014996830480766,0.0174963022275603,0.0199957739743546,0.022495245721149,0.0249947174679433,0.0274941892147377,0.029993660961532,0.0324931327083263,0.0349926044551207,0.037492076201915,0.0399915479487093,0.0424910196955037,0.044990491442298,0.0474899631890924,0.0499894349358867,0.052488906682681,0.0549883784294754,0.0574878501762697,0.059987321923064,0.0599873219230744,0.0624867936698692,0.0649862654166639,0.0674857371634587,0.0699852089102535,0.0724846806570482,0.074984152403843,0.0774836241506378,0.0799830958974325,0.0824825676442273,0.0849820393910221,0.0874815111378168,0.0899809828846116,0.0924804546314064,0.0949799263782011,0.0974793981249959,0.0999788698717907,0.1024783416185854,0.1049778133653802,0.107477285112175,0.1099767568589697,0.1124762286057645,0.1149757003525593,0.1174751720993541,0.1199746438461488,0.1224741155929436,0.1249735873397384,0.1274730590865331,0.1299725308333279,0.1324720025801227,0.1349714743269174,0.1374709460737122,0.139970417820507,0.1424698895673017,0.1449693613140965,0.1474688330608913
PD22,baseline,Agriculture,Silvopasture,Emissions,CO2,Mha,0.0,0.069533933733358,0.139067867466716,0.208601801200074,0.2781357349334321,0.34766966866679,0.4172036024001481,0.486737536133506,0.5562714698668642,0.6258054036002221,0.6953393373335801,0.7648732710669381,0.8344072048002962,0.903941138533654,0.973475072267012,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PD22,baseline,Agriculture,Trees in Croplands,Emissions,CO2,Mha,0.0,0.3019491670959986,0.6038983341919973,0.905847501287996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PD22,pathway,Agriculture,Biochar,Emissions,CO2,Tg dm /yr,0.0,0.0015445581209907,0.0030891162419815,0.0030891162419815,0.0030891162419815,0.0030891162419815,0.0030891162419815,0.0030891162419815,0.0038851577351075,0.0046811992282335,0.0054772407213595,0.0062732822144855,0.0070693237076115,0.008262197825669,0.0094550719437265,0.010647946061784,0.0118408201798415,0.013033694297899,0.0188222228867197,0.0246107514755405,0.0303992800643613,0.0361878086531821,0.0419763372420028,0.047720905330457,0.0534654734189111,0.0622258902487356,0.0709863070785602,0.0797467239083847,0.0857110944986721,0.0980121137904602,0.1103131330822482,0.1226141523740362,0.1245745530660629,0.1265349537580896,0.1494062951650683,0.1722776365720469,0.1769113109350192,0.1815449852979915,0.1861786596609638,0.2002579009946105,0.214337142328257,0.2154486365369534,0.2347116054342533,0.2553941984327115,0.2775466001455229,0.3012109768550378,0.32641964690586,0.3531931965269518,0.3815385990328619,0.4114474076904552,0.442894103277237,0.4758346851995176,0.5102055986117522,0.5459230879899127,0.5828830590334432,0.6209615150383786,0.6600156110835173,0.6998853403668142,0.740395833505278,0.7813602159953855,0.8225829342842047
