model,scenario,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,pathway,Electric Power,Biofuels and Waste,Municipal waste (non-renewable),MUNWASTEN,Electricity output,CO2e,ELAUTOC,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.210190492109962e-05,0.0001317802660256,0.0001887290804648,0.000252101484147,0.0003309620636497,0.000434641598475,0.0005730240994808,0.000756780508912,0.0009975521854556,0.0013080782045688,0.0017022525542516,0.0021950902655192,0.0028025758199893,0.0035413639185357,0.0044283036027777,0.0054797639955133,0.0067107558139826,0.0081338688113326,0.0097580810179554,0.0115875375094601,0.0136204368104263,0.0158481906609377,0.0182550250387356,0.0208181572350148,0.0235086136133828,0.0262926552342662,0.0291336747375825,0.0301189782806226,0.0306607007226657
PD22,pathway,Electric Power,Coal,Other bituminous coal,BITCOAL,Electricity output,CO2e,ELMAINE,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0227533523177907,0.0415861803470489,0.0595576394982675,0.0795562044430591,0.1044424061512723,0.137160778663107,0.1808304404209932,0.238818843487679,0.3147996763177678,0.4127930361944374,0.5371834786214675,0.6927093290444235,0.8844148445083082,1.1175557845821649,1.3974492373595382,1.7292608419253366,2.1177275624177403,2.5668223741591065,3.079378493398883,3.656703990510653,4.29823037004389,5.001247416451707,5.760777287798973,6.569630395949712,7.418663468510747,8.29722943617392,9.193776036037274,9.504710382075643,9.6756628915239
PD22,pathway,Electric Power,Emissions,"Fossil Fuels, Addtl Emissions",EM,Emissions,CO2e,IND,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008655017245789,0.0015818728733381,0.0022654789051586,0.0030261928521443,0.0039728248119471,0.0052173802268548,0.0068785054551438,0.0090842930753071,0.0119744844163854,0.0157019976542578,0.0204336143821172,0.0263495730451587,0.0336417492453026,0.0425100638077286,0.0531567703982011,0.0657783618004687,0.0805550246777367,0.0976378847606299,0.1171347131378112,0.1390952667483191,0.1634979209196231,0.1902395833162712,0.2191309046626323,0.2498984043373114,0.2821942866434782,0.315613553815563,0.349716775947819,0.3615442292816561,0.3680469937834333
PD22,pathway,Electric Power,Emissions,"Fossil fuel Heat, Addtl Emissions",EM,Emissions,CO2e,IND,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.556546066899944e-06,4.672585574200076e-06,6.691842454100046e-06,8.938863105699977e-06,1.173505419900002e-05,1.5411260913200013e-05,2.031794457229999e-05,2.6833469041600023e-05,3.537060662980006e-05,4.638105182800008e-05,6.035744932330006e-05,7.783219307269998e-05,9.93720512313999e-05,0.0001255675561858,0.0001570161311406,0.0001942981826269,0.0002379459516463,0.0002884058381094,0.0003459961796288,0.0004108639498075,0.0004829452730113,0.0005619356318751,0.0006472757205856,0.0007381577235292,0.0008335543108971,0.0009322691876213,0.0010330043519011,0.00106794065352,0.0010871487227113
PD22,pathway,Electric Power,Emissions,"Fugitive Natural Gas, Distribution, Addtl Emissions",EM,Emissions,CO2e,IND,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003496125309802,0.0006389849531561,0.0009151221672029,0.0012224065096887,0.0016047909532719,0.0021075192046368,0.0027785175156102,0.0036695278634695,0.0048369976455348,0.0063426969414991,0.0082539958481066,0.0106437002503318,0.0135893167699588,0.0171716018326558,0.0214722541964725,0.0265706455570333,0.0325395608823897,0.0394400462082454,0.0473156348078492,0.0561864256005879,0.0660436834721568,0.0768457650944164,0.0885161843349734,0.1009444708741224,0.1139901354090926,0.1274895823168589,0.1412653073855013,0.1460429129958237,0.1486696529447707
PD22,pathway,Electric Power,Emissions,"Other Fossil Transformation, Addtl Emissions",EM,Emissions,CO2e,IND,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,Electric Power,Natural gas,Natural gas,NATGAS,Electricity output,CO2e,ELMAINE,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0201410732128399,0.0368117317973109,0.0527199140049594,0.0704224729544744,0.0924515262383156,0.121413550249632,0.1600695620038994,0.2114004013171264,0.278657985844867,0.3654008713802383,0.4755102290216344,0.6131803839995706,0.7828764695844725,0.9892508392753124,1.2370101340573658,1.5307269335464646,1.8745943579554565,2.27212925112004,2.7258395518753824,3.2368831529484026,3.804756827019881,4.427061514426431,5.099390871985861,5.815380737661989,6.566937564793911,7.3446366585304,8.138252054379166,8.413488482861329,8.56481418470192
PD22,pathway,Electric Power,Oil products,Other oil products,ONONSPEC,Electricity output,CO2e,ELMAINE,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002705695632935,0.0004945185438343,0.0007082246292662,0.0009460358716728,0.0012419680329728,0.0016310357904864,0.0021503298771763,0.0028398940642332,0.0037434137069821,0.0049086934520135,0.0063878718700016,0.0082372943569412,0.0105169442685476,0.0132893200249007,0.0166176493290379,0.0205633589409294,0.025182778068698,0.0305231510121256,0.0366181687224453,0.0434833860077924,0.0511120426526333,0.0594719103581789,0.068503795538371,0.0781222038144014,0.0882184087364733,0.0986658015810532,0.1093270095916004,0.113024459050718,0.1150573263477784
PD22,pathway,Forests & Wetlands,Emissions,Forest fires,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,Forests & Wetlands,Emissions,Savanna fires,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,Industrial,Coal,Anthracite,ANTCOAL,Final consumption,CO2e,INONSPEC,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3880238183551843e-06,5.027225493410922e-06,7.927912830222483e-06,1.1099724454591406e-05,1.4551374037608818e-05,1.8290371653880403e-05,2.232273582266828e-05,2.665271642386121e-05,3.128255491296569e-05,3.6212312424555856e-05,4.143979647724255e-05,4.696061130432331e-05,5.276834452016293e-05,5.885488478632827e-05,6.521084431910402e-05,7.182604109889798e-05,7.86899835340314e-05,8.57922988080022e-05,9.312305610770466e-05,0.0001006729550037,0.0001084333725554,0.0001163962846082,0.0001245540927061,0.0001328993958079,0.0001414247457869,0.0001501224195017,0.0001589842308033,0.0001680013957506,0.0001771644553862,0.0001864632536465
PD22,pathway,Industrial,Coal,Blast furnace gas,BLFURGS,Final consumption,CO2e,IRONSTL,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.623286038909995e-05,3.425180780960004e-05,5.41318022555e-05,7.594351406859995e-05,9.97516189052e-05,0.0001256129354585,0.0001535744919427,0.0001836716505633,0.0002159264601752,0.0002503464354542,0.0002869239633839,0.0003256365030696,0.000366447667234,0.0004093091585131,0.0004541633994831,0.0005009465717283,0.0005495916987627,0.0006000313946191,0.000652199960994,0.0007060346363153,0.0007614759490516,0.0008184672687985,0.000876953752685,0.000936880936477,0.0009981932202347,0.001060832459996,0.001124736817164,0.001189839952602,0.0012560705948589,0.0013233524678238
PD22,pathway,Industrial,Coal,Coke oven coke,OVENCOKE,Final consumption,CO2e,INONSPEC,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.112370861190025e-05,0.0001497283730497,0.0002361209958249,0.0003305886489571,0.0004333908560731,0.0005447512934843,0.0006648492137619,0.000793811193206,0.0009317039902073,0.001078529425568,0.0012342221995174,0.0013986513907354,0.0015716260159313,0.0017529044910529,0.0019422072150388,0.0021392309317037,0.002343663164721,0.0025551949753056,0.0027735305890801,0.0029983930067013,0.0032295254068108,0.0034666888019967,0.0037096568836397,0.0039582092228292,0.0042121239882763,0.0044711711577955,0.004735106919217,0.0050036696560235,0.0052765776473541,0.0055535284100811
PD22,pathway,Industrial,Coal,Other bituminous coal,BITCOAL,Final consumption,CO2e,INONSPEC,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002660354750766,0.0005600531754341,0.0008832014320662,0.0012365540267333,0.0016210816975037,0.0020376210969477,0.0024868427123605,0.0029692199974851,0.0034850026594963,0.0040341975090316,0.004616560294831,0.0052316013107722,0.005878606191259,0.0065566713005083,0.0072647508015891,0.0080017103764942,0.0087663812196383,0.0095576077574694,0.0103742836573945,0.0112153728141087,0.0120799145972753,0.012967015083744,0.0138758277748972,0.0148055281649386,0.0157552865025323,0.0167242423986089,0.0177114838831979,0.018716032389858,0.0197368341526295,0.0207727577450985
PD22,pathway,Industrial,Emissions,"Cement Production, Addtl Emissions",EM,Emissions,CO2e,IND,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0121926089170817,0.0269774910476648,0.0447028938793095,0.0657274748063814,0.0904073192871837,0.119078898332721,0.1520381861709305,0.1895167973507656,0.2316567788906505,0.2784864899775147,0.3299006318737028,0.3856477260379688,0.4453279746278018,0.5084033811095134,0.5742203540308284,0.6420430683113219,0.7110940663032512,0.7805974022579184,0.8498193694588504,0.9181025346511194,0.9848902065623129,1.049740183285742,1.112328238043433,1.1724430065796598,1.2299745973742984,1.2848993849850632,1.3372631982247023,1.3871646455989837,1.4347397809496525,1.4801488094075914
PD22,pathway,Industrial,Emissions,"Chemical Production, Addtl Emissions",EM,Emissions,CO2e,IND,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027002289511565,0.0059745541624331,0.0099001000585097,0.0145562964879447,0.0200220037069911,0.026371738069886,0.0336710473346611,0.0419712258809562,0.0513037320680267,0.0616748464465001,0.073061249093472,0.0854072464619523,0.0986242975582696,0.1125932552970247,0.12716937243227,0.1421896898960437,0.1574820284883885,0.172874543841179,0.1882047460286776,0.203327036982376,0.2181181293975759,0.2324800912895137,0.2463411179658076,0.2596543997660774,0.2723955996295563,0.2845594853615859,0.2961562064131843,0.3072076010589905,0.3177438003829178,0.3278002841198999
