model,scenario,region,variable,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,pathway,world,Concentration|C6F14,PPM,0.0,2.2762886015058493e-11,4.65880520568946e-11,7.346606621804893e-11,1.0507291643324504e-10,1.3333708282260665e-10,1.56459313356529e-10,1.791944345190943e-10,1.9856456458641037e-10,2.1125387449998877e-10,2.1895286038448035e-10,2.2503697828421474e-10,2.304116048797534e-10,2.349693163202147e-10,2.3958513262872587e-10,2.446134529965874e-10,2.4981914654935544e-10,2.545758832790609e-10,2.5831017987723837e-10,2.6126325510977536e-10,2.6426714969910817e-10,2.673563549592661e-10,2.70286811330771e-10,2.7313913776065214e-10,2.7595746808786484e-10,2.787453980614637e-10,2.814708862645033e-10,2.8415039913834666e-10,2.8684349434631284e-10,2.895547035188895e-10,2.9222012429170927e-10,2.948405932672308e-10,2.9746280336807084e-10,3.0008758001533905e-10,3.0271468908102037e-10,3.053438950760696e-10,3.079691631162149e-10,3.105758134855734e-10,3.1314291849166293e-10,3.1564147577703947e-10,3.180313464609216e-10,3.202589625161868e-10,3.222492473035284e-10,3.2389664447865157e-10,3.250581315709222e-10,3.255736897421693e-10,3.2559836376624274e-10,3.2549383090403875e-10,3.253890778430893e-10,3.252842145845225e-10,3.251793102907575e-10,3.2507443065603036e-10,3.2496958484798724e-10,3.248647728557181e-10,3.2475999466831634e-10,3.2465525027487897e-10,3.245505396645064e-10,3.2444586282630267e-10,3.243412197493753e-10,3.2423661042283524e-10,3.241320348357971e-10
PD22,pathway,world,Concentration|HFC23,PPM,0.0,7.894724191077209e-10,1.582045335878902e-09,2.412780855840873e-09,3.2436227142715875e-09,4.121724858060234e-09,4.955314518802309e-09,5.718987512866181e-09,6.548851991985573e-09,7.40766837166455e-09,8.249903180587378e-09,9.064781620514501e-09,9.814311974935497e-09,1.0541325095458899e-08,1.1353777058385513e-08,1.234428036889391e-08,1.3486402175698295e-08,1.4548609562092425e-08,1.539091315684082e-08,1.6175458327650097e-08,1.7055624766555612e-08,1.801422085523312e-08,1.9027263010966555e-08,2.0079741656598383e-08,2.1216549694294003e-08,2.2214780616549036e-08,2.2993700844157424e-08,2.378833923382743e-08,2.4617738093301723e-08,2.546257600198864e-08,2.6291704440890783e-08,2.7108418910632503e-08,2.792823104331305e-08,2.8751353939158673e-08,2.9577572573584164e-08,3.0406633369984674e-08,3.1235751794834435e-08,3.206094530851095e-08,3.28779025717032e-08,3.367906338102817e-08,3.445370826080876e-08,3.518713053092952e-08,3.5859925338389647e-08,3.644717985119653e-08,3.691592940027498e-08,3.7229604770242485e-08,3.736780497168988e-08,3.7341684681365885e-08,3.720895178842799e-08,3.704425458609831e-08,3.68789395717132e-08,3.671379890018785e-08,3.654913420785298e-08,3.6385050232512967e-08,3.6221625892756085e-08,3.605888500786867e-08,3.5896838417838456e-08,3.573550493275444e-08,3.557489636383541e-08,3.5415009510485664e-08,3.5255841203304815e-08
PD22,pathway,world,Concentration|HFC32,PPM,0.0,1.4261656040055474e-10,2.556955313533863e-10,4.93513969379457e-10,9.003694149814551e-10,1.5238861632322037e-09,2.323997385063389e-09,3.280574842946197e-09,3.6362012829832056e-09,3.4248580489895632e-09,3.410706180449103e-09,3.4970369291587266e-09,3.716410576695518e-09,4.110336618187235e-09,4.697456367825271e-09,5.298870118740265e-09,5.59775318567582e-09,5.927285397268242e-09,6.412900459271607e-09,6.8946775470175545e-09,7.655670008799163e-09,8.7385605955718e-09,1.0033347287784228e-08,1.1562458669513925e-08,1.3355580947973611e-08,1.5388925532088147e-08,1.7638571416001997e-08,2.0127308855508006e-08,2.2864352365790608e-08,2.54718166514732e-08,2.7452481382993823e-08,2.8922260549711905e-08,3.015556102913571e-08,3.120124343588089e-08,3.209065775843025e-08,3.2849287896424174e-08,3.347495444143658e-08,3.3951811571715986e-08,3.426679572737303e-08,3.439124610023013e-08,3.4281585308520566e-08,3.3876168542794686e-08,3.3090759754523596e-08,3.181313061400032e-08,2.989256808045795e-08,2.7153142122384026e-08,2.3825777971487726e-08,2.0333593329074508e-08,1.697755794501354e-08,1.405085262144659e-08,1.1613982868052344e-08,9.594754554065251e-09,7.92355163572027e-09,6.541202013218189e-09,5.398737963284309e-09,4.455390359939399e-09,3.676655830668221e-09,3.033881308518055e-09,2.5033863481384222e-09,2.065565090796891e-09,1.7042470696419472e-09
PD22,pathway,world,Concentration|HFC43-10,PPM,0.0,9.656099218052699e-12,1.9752143212371733e-11,4.2869087859726744e-11,7.470839263629563e-11,1.1696476255692737e-10,1.7789243985281175e-10,2.5886650508391096e-10,3.1227770408315817e-10,3.340310061087455e-10,3.675289513706385e-10,4.0695940493720096e-10,4.5359454916774746e-10,5.145244106123036e-10,5.903833131389502e-10,6.832937223473618e-10,8.000680063726473e-10,9.447461035441935e-10,1.101388746909111e-09,1.2651818861836777e-09,1.4501999258655854e-09,1.6602247381429056e-09,1.8895015937743325e-09,2.1355400951660283e-09,2.399138076083379e-09,2.6680781340269554e-09,2.942084765514945e-09,3.2271574177245162e-09,3.518837312257123e-09,3.804700634423004e-09,4.04820964179072e-09,4.250423150752098e-09,4.438411634924787e-09,4.6139522309148675e-09,4.777749377391705e-09,4.930437369590722e-09,5.0712390368933005e-09,5.19794727663933e-09,5.307860201491734e-09,5.397250986813801e-09,5.461040320509426e-09,5.492326361400734e-09,5.481905611993233e-09,5.417643532625777e-09,5.2833320340295975e-09,5.060656557575469e-09,4.786516200329601e-09,4.513292556926249e-09,4.249130474922213e-09,3.996832656202487e-09,3.7580171550261555e-09,3.532879206999888e-09,3.320786440999271e-09,3.1210968354219853e-09,2.9332631074224414e-09,2.7567009635450756e-09,2.5907417600996365e-09,2.4347550474739464e-09,2.2881464753576075e-09,2.1503567783184776e-09,2.0208613236431744e-09
PD22,pathway,world,Concentration|HFC125,PPM,0.0,6.803029617815825e-11,1.3240044130435913e-10,2.6279280845771403e-10,4.4500251924544225e-10,7.020842201479976e-10,1.080093722539905e-09,1.5909312442250605e-09,1.943376549397796e-09,2.1212344255394114e-09,2.407417367235995e-09,2.815399744224879e-09,3.371796615640031e-09,4.11445943337718e-09,5.0826395845837266e-09,6.209959106041838e-09,7.473189947772626e-09,8.928791166785346e-09,1.0514794231133297e-08,1.2218899710561943e-08,1.4093495556382268e-08,1.6190183172820834e-08,1.8543209864960598e-08,2.1175890419441926e-08,2.405516484175368e-08,2.7066060253619596e-08,3.020780406987388e-08,3.352568357638152e-08,3.700537879510719e-08,4.050080035659832e-08,4.370599880543038e-08,4.664333850997165e-08,4.9512758951538486e-08,5.232675068987883e-08,5.508722183615581e-08,5.779496856542601e-08,6.042973346704603e-08,6.296318714960245e-08,6.537493381766503e-08,6.763167964972963e-08,6.968290238470985e-08,7.146168135415681e-08,7.287584100954545e-08,7.379731236183943e-08,7.405159256943169e-08,7.341704256905374e-08,7.198326082412875e-08,7.006133700305923e-08,6.785513700123525e-08,6.556204438044653e-08,6.330529317031182e-08,6.111584037333441e-08,5.8996381858837834e-08,5.694668718343869e-08,5.4965994205178494e-08,5.305312682028089e-08,5.1206113710472113e-08,4.9422942638089864e-08,4.770159217963038e-08,4.603997092581322e-08,4.443606430782849e-08
PD22,pathway,world,Concentration|HFC134a,PPM,0.0,6.969069209857909e-11,1.5446405330032264e-10,4.351404471438555e-10,1.0986626771471245e-09,2.3582185401896285e-09,4.234027801799262e-09,6.604279165981918e-09,9.329863553953594e-09,1.2323886241261031e-08,1.5762509928261378e-08,1.96894393416026e-08,2.3926694261693266e-08,2.8364495062630163e-08,3.300220081638498e-08,3.785670502577179e-08,4.281731162172155e-08,4.7835594229480114e-08,5.293695408167915e-08,5.8073172580657955e-08,6.328761631449907e-08,6.852160523554503e-08,7.373781678247297e-08,7.893217817648293e-08,8.41931563856087e-08,8.97253615757356e-08,9.552620918648064e-08,1.0154711706515322e-07,1.077724828668778e-07,1.1387611172761667e-07,1.1916342555331744e-07,1.2375257984687507e-07,1.2817095205996882e-07,1.324709642597389e-07,1.3665974702415425e-07,1.4074129272739256e-07,1.446294655394511e-07,1.482262097718861e-07,1.5149782451648021e-07,1.5437703800361528e-07,1.567521637461197e-07,1.5847450612153465e-07,1.5931251009659361e-07,1.5889825920775824e-07,1.5667115754542559e-07,1.5183062158056766e-07,1.446251431648742e-07,1.3614726461017915e-07,1.2716847814352648e-07,1.1833075649700136e-07,1.0996253800789395e-07,1.0213641796854153e-07,9.484335584596413e-08,8.805679309086303e-08,8.17459923404847e-08,7.588158120731908e-08,7.0433621458542e-08,6.53741408529267e-08,6.067657784477864e-08,5.631524454622219e-08,5.2266307262264384e-08
PD22,pathway,world,Concentration|HFC143a,PPM,0.0,9.68162197756017e-11,2.5867898930257986e-10,3.666131704987608e-10,3.883640578392114e-10,4.1894151893766916e-10,4.732975020989664e-10,5.630008982673456e-10,6.982218772859042e-10,8.938078041977327e-10,1.1626527958794972e-09,1.5099343020859362e-09,1.9448480470910297e-09,2.4906025010028415e-09,3.1759138687106592e-09,3.91902924716088e-09,4.691345647932998e-09,5.566711104930298e-09,6.545044421199256e-09,7.616425429121516e-09,8.78560712514075e-09,1.007244613036572e-08,1.1444507229964498e-08,1.2867574296695536e-08,1.433811088547968e-08,1.5816018849743734e-08,1.7318243056570867e-08,1.888975998380229e-08,2.0529210719214996e-08,2.2184424994656197e-08,2.374166918641197e-08,2.5210668439421453e-08,2.6670680064568347e-08,2.8128421128771928e-08,2.9583784411163576e-08,3.10363017492522e-08,3.247169884946685e-08,3.387335143081715e-08,3.5234232299319154e-08,3.654216632426084e-08,3.777775637869898e-08,3.8915724618675956e-08,3.99169596134542e-08,4.07191131099218e-08,4.12270830499531e-08,4.130227777366977e-08,4.096548637158273e-08,4.0379785829879044e-08,3.965614467194836e-08,3.8875312532924254e-08,3.808311018775458e-08,3.729729624082178e-08,3.652279102562484e-08,3.576129573700055e-08,3.50136687056788e-08,3.4280504800350416e-08,3.35618498134054e-08,3.28577287125276e-08,3.216807168289851e-08,3.149263417434046e-08,3.0831177429481935e-08
PD22,pathway,world,Concentration|HFC227ea,PPM,0.0,3.991267355994658e-11,7.265205575758713e-11,1.0235215969616443e-10,1.3487329275807772e-10,1.5524117681386883e-10,1.6119050662674026e-10,1.6815634765808771e-10,1.7802635713094038e-10,1.9377339967028758e-10,2.1571110045856682e-10,2.4523432931793023e-10,2.836935488394032e-10,3.3161863944345e-10,3.891264544518174e-10,4.538376023052879e-10,5.237919891027733e-10,6.01896975902966e-10,6.89644633283245e-10,7.859939590589112e-10,8.896231006957258e-10,9.992794472661622e-10,1.1097778604096757e-09,1.2208481650061893e-09,1.3396561620901408e-09,1.4687397506268614e-09,1.6092759647369873e-09,1.7627328151576443e-09,1.9295123394527336e-09,2.1004828774867496e-09,2.2630410759058554e-09,2.4189914432705827e-09,2.574776144927129e-09,2.731033200889228e-09,2.887776372998044e-09,3.0449656801227874e-09,3.2009873784119522e-09,3.354043299484749e-09,3.5034767559897544e-09,3.648024300630737e-09,3.785610675554421e-09,3.91351231921984e-09,4.0276081814130785e-09,4.1214873773416255e-09,4.185608481864555e-09,4.20620560956643e-09,4.1798577512067144e-09,4.115644977112079e-09,4.026847693628189e-09,3.929214585129684e-09,3.831425881408504e-09,3.735377605803021e-09,3.6413605861093037e-09,3.549469913115748e-09,3.4597275917272237e-09,3.3721474250140916e-09,3.286705450738342e-09,3.203379024918458e-09,3.1221369751236114e-09,3.042931420101974e-09,2.965715690546616e-09
PD22,pathway,world,Concentration|HFC245fa,PPM,0.0,4.298355649184558e-11,7.861309514167493e-11,1.0745329982993422e-10,1.3679648521503386e-10,1.7003760248628026e-10,2.0706644457573418e-10,2.489580702863556e-10,2.7393493775514735e-10,2.630125505610115e-10,2.3829867879708284e-10,2.1876682549267666e-10,2.0366416021360644e-10,2.1166951332557294e-10,2.5055154893795133e-10,3.0719709222835746e-10,3.919313315360129e-10,5.136341512415977e-10,6.667673173187386e-10,8.479017297857294e-10,1.054692654699215e-09,1.2724546367952118e-09,1.487920663414633e-09,1.702107462739159e-09,1.9155934635926246e-09,2.1277698210589666e-09,2.3391760551310565e-09,2.5501992631352264e-09,2.7600676803378305e-09,2.956576071848876e-09,3.115787291744441e-09,3.2451042513010563e-09,3.3666877838270774e-09,3.483779377489982e-09,3.596913955320907e-09,3.7064894599300252e-09,3.807766903140792e-09,3.8961311812010494e-09,3.971817515547067e-09,4.0338791018919484e-09,4.079615667394986e-09,4.105477297687065e-09,4.103660971350148e-09,4.058422527970251e-09,3.942942386741491e-09,3.7156885946395685e-09,3.3952938106282614e-09,3.0497813927807566e-09,2.7140818084584433e-09,2.4013011777484395e-09,2.1175742761750443e-09,1.8650051118700737e-09,1.6414083500061186e-09,1.4438908676244738e-09,1.2695997583453185e-09,1.116007159571722e-09,9.807335751560415e-10,8.616924255566072e-10,7.570096993149813e-10,6.64959927555963e-10,5.840279143963173e-10
PD22,pathway,world,Concentration|SF6,PPM,0.0,2.072775253855944e-10,4.1951103940573547e-10,6.334040566371059e-10,8.453261324248969e-10,1.058839294028586e-09,1.2727606131262852e-09,1.4750478304239835e-09,1.6648041068783244e-09,1.8505726834715479e-09,2.0343412127263253e-09,2.2154715775431524e-09,2.4362953071251122e-09,2.7022898909269757e-09,2.977291897166375e-09,3.250322844997965e-09,3.507334580883308e-09,3.759445881783886e-09,4.020295147505944e-09,4.284240427216436e-09,4.542351441475893e-09,4.7990188296305904e-09,5.066142662801419e-09,5.3450260605782356e-09,5.631120865177872e-09,5.922846883933111e-09,6.221458760784384e-09,6.5289096815872775e-09,6.850971300159032e-09,7.182138184074948e-09,7.508027776292786e-09,7.830118138690047e-09,8.155619769709387e-09,8.485067606953679e-09,8.81839285579165e-09,9.155475820997099e-09,9.494570520500515e-09,9.833425664727688e-09,1.0170423535633302e-08,1.0502934063857396e-08,1.0827167653520105e-08,1.1137985174555182e-08,1.1428414090653168e-08,1.1689093310768619e-08,1.1907406286151836e-08,1.2066811381618286e-08,1.2164291976549851e-08,1.2209539108464955e-08,1.2219499669961762e-08,1.2217341032029025e-08,1.2213831769173174e-08,1.2210149903349965e-08,1.220639693284003e-08,1.2202610055602095e-08,1.2198812950517965e-08,1.2195012101331122e-08,1.219120869088383e-08,1.2187403657286924e-08,1.2183597733032904e-08,1.217979159907273e-08,1.2175986126419647e-08
